Subsector,Sector
Misto,Fundo Misto
Papéis,Papel
Fundo de Desenvolvimento,Fundo Misto
Fundo de Fundos,Papel
Lajes Corporativas,Tijolo
Imóveis Industriais e Logísticos,Tijolo
Agências de Bancos,Tijolo
Educacional,Tijolo
Hospitalar,Tijolo
Hotéis,Tijolo
Imóveis Comerciais - Outros,Tijolo
Imóveis Residenciais,Tijolo
Shoppings,Tijolo
Varejo,Tijolo
