Tipo,Novo Tipo
Fiagro,Agro
Papéis,Papel
Lajes Corporativas,Lajes Corp
Fundo de Fundos,FOFs
Imóveis Residenciais,Residenciais
Agências de Bancos,Ag Bancárias
Imóveis Industriais e Logísticos,Logística
Educacional,Educação
Fundo de Desenvolvimento,Desenv Imob
Hospitalar,Hospitais
